id,text,created_at,public_metrics,author_id,context_annotations
1644016565778612227,"Happy Thursday 🧃🥪
I had so much fun writing this article and going over the weeks’ Twitter updates. Hope you enjoy! 

Twitter is Transforming Fast: 5 Main Changes from the Past Week – What's Up Twitter ✨ https://t.co/FnC6VKfflv",2023-04-06 16:37:48+00:00,"{'retweet_count': 43, 'reply_count': 21, 'like_count': 276, 'quote_count': 6, 'impression_count': 153186}",1233929232432205827,['Brand :\n Twitter']
1644058227015929856,You are currently using an app named “Titter” and this is it’s logo https://t.co/Tl9jyJhEhr,2023-04-06 19:23:21+00:00,"{'retweet_count': 317, 'reply_count': 286, 'like_count': 3044, 'quote_count': 34, 'impression_count': 436988}",1355945100216573952,[]
1644050332568416256,@elonmusk Tesla Autopilot and FSD are probably the largest data flywheels for robotics in history. Massive-scale reinforcement learning from human feedback in the physical world! https://t.co/gwH51hHPRl,2023-04-06 18:51:58+00:00,"{'retweet_count': 27, 'reply_count': 17, 'like_count': 239, 'quote_count': 6, 'impression_count': 76118}",1007413134,"['Business Taxonomy :\n Automotive, Aircraft & Boat Business', 'Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Entities [Entity Service] :\n Technology', 'Entities [Entity Service] :\n Robotics', 'Unified Twitter Taxonomy :\n Robotics', 'Person :\n Elon Musk', 'Entities [Entity Service] :\n Auto Manufacturer - Auto', 'Brand :\n Tesla Motors', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Vertical :\n Automotive', 'Interests and Hobbies Category :\n Hybrid and electric vehicles', 'Interests and Hobbies Category :\n Luxury Cars', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Tesla Motors', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Automotive', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities', 'Unified Twitter Taxonomy :\n Automobile Brands']"
1643979291674419200,"Uranus has never looked better. Really. 

Only Voyager 2 and Keck (with adaptive optics) have imaged the planet's faintest rings before, and never as clearly as Webb’s first glimpse at this ice giant, which also highlights bright atmospheric features.  https://t.co/aE3rJIqVKy https://t.co/RZElIRkudl",2023-04-06 14:09:41+00:00,"{'retweet_count': 6346, 'reply_count': 1124, 'like_count': 35150, 'quote_count': 1273, 'impression_count': 5778534}",29472803,"['Entities [Entity Service] :\n Aerospace', 'Business Taxonomy :\n Automotive, Aircraft & Boat Business', 'Business Taxonomy :\n Textile, Apparel & Luxury Good Business', 'Business Taxonomy :\n Travel & Transportation Business', 'Brand :\n NASA', 'Entities [Entity Service] :\n Science', 'Interests and Hobbies Category :\n Space', 'Unified Twitter Taxonomy :\n Space', 'Unified Twitter Taxonomy :\n Science', 'Unified Twitter Taxonomy :\n NASA', 'Unified Twitter Taxonomy :\n Space agencies & companies', 'Unified Twitter Taxonomy :\n Space telescopes', 'Unified Twitter Taxonomy :\n Solar System', 'Unified Twitter Taxonomy :\n James Webb Space Telescope', 'Fields of study :\n Science', 'Entities [Entity Service] :\n Travel', 'Interests and Hobbies :\n Travel Actions']"
1643947285951180800,"Good Morning Everyone! Janet Yellen testified before the Senate Finance Committee that she’s not concerned about U.S debt soaring from $32 trillion to $50 trillion “as long as we’re on a sustainable fiscal course”. 

Newsflash, we’re not on a sustainable course. https://t.co/nHQSQNMQUX",2023-04-06 12:02:30+00:00,"{'retweet_count': 1905, 'reply_count': 594, 'like_count': 12904, 'quote_count': 217, 'impression_count': 1365803}",1281457267582177280,"['Person :\n Janet Yellen', 'Business Taxonomy :\n Financial Services Business', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Personal finance', 'Entities [Entity Service] :\n Retirement planning', 'Interests and Hobbies :\n Saving and finance', 'Political Body :\n United States Congress', 'Unified Twitter Taxonomy :\n Politics', 'Unified Twitter Taxonomy :\n United States Congress', 'Unified Twitter Taxonomy :\n Government institutions', 'Unified Twitter Taxonomy :\n Janet Yellen', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Personal finance', 'Interests and Hobbies :\n Credit, debt and loans', 'Political Body :\n United States Senate', 'Political Body :\n United States Congress', 'Unified Twitter Taxonomy :\n Politics', 'Unified Twitter Taxonomy :\n United States Senate', 'Unified Twitter Taxonomy :\n Government institutions']"
1644015317734285313,How to control what data is shared by your Tesla @elonmusk https://t.co/v87V6r1Bg5,2023-04-06 16:32:50+00:00,"{'retweet_count': 44, 'reply_count': 26, 'like_count': 395, 'quote_count': 6, 'impression_count': 118407}",1263491240336769026,"['Business Taxonomy :\n Automotive, Aircraft & Boat Business', 'Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Entities [Entity Service] :\n Auto Manufacturer - Auto', 'Brand :\n Tesla Motors', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Vertical :\n Automotive', 'Interests and Hobbies Category :\n Hybrid and electric vehicles', 'Interests and Hobbies Category :\n Luxury Cars', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Tesla Motors', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Automotive', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities', 'Unified Twitter Taxonomy :\n Automobile Brands']"
1643921733743783937,Flying the mountains in Norway 🇳🇴https://t.co/aZa2K7Wv3H,2023-04-06 10:20:58+00:00,"{'retweet_count': 970, 'reply_count': 187, 'like_count': 8815, 'quote_count': 93, 'impression_count': 486725}",1376473924842758147,[]
1643888991291449346,"NORWAY 🇳🇴
#feyaja #topchef #FNAFMovie #Doge #CopaDelRey #BlueAiva https://t.co/gm4mtV9Trd",2023-04-06 08:10:52+00:00,"{'retweet_count': 73, 'reply_count': 31, 'like_count': 407, 'quote_count': 18, 'impression_count': 58890}",1317102837390692353,"['TV Shows :\n Top Chef', 'TV Shows :\n Copa del Rey', 'TV Shows :\n Fútbol: Copa del Rey', 'Sports League :\n Copa del Rey', 'Business Taxonomy :\n Entertainment & Leisure Business', 'Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Sports & Fitness Business', 'Entities [Entity Service] :\n Dogecoin cryptocurrency', 'Interests and Hobbies Category :\n Cryptocurrencies', 'Unified Twitter Taxonomy :\n Copa del Rey', 'Unified Twitter Taxonomy :\n Soccer', 'Unified Twitter Taxonomy :\n Sports', 'Unified Twitter Taxonomy :\n Cryptocurrencies', 'Unified Twitter Taxonomy :\n Television', 'Unified Twitter Taxonomy :\n Dogecoin cryptocurrency', 'Unified Twitter Taxonomy :\n Competition shows', 'Unified Twitter Taxonomy :\n Cooking competition', 'Unified Twitter Taxonomy :\n Top Chef', 'Unified Twitter Taxonomy :\n Cryptocoins', 'Unified Twitter Taxonomy :\n Digital asset industry', 'Unified Twitter Taxonomy :\n Digital assets & cryptocurrency', 'Global TV Show :\n Top Chef', 'Digital Assets & Crypto :\n Dogecoin cryptocurrency']"
1644047943010508810,@notthreadguy i made a guy eating an apple riding a shark https://t.co/4aCnm3nCG6,2023-04-06 18:42:29+00:00,"{'retweet_count': 20, 'reply_count': 36, 'like_count': 246, 'quote_count': 2, 'impression_count': 14988}",30699048,[]
1644040425731158041,"Uranus. (Go ahead, get it out of your system. We tried.)⁣

Only Voyager 2 in the 1980s &amp; Keck (with adaptive optics) have imaged the planet's rings before, and they've never been this clear. @NASAWebb highlights atmospheric features &amp; 11 of its 13 rings: https://t.co/oWpw1ekldE https://t.co/m5upNQKEEX",2023-04-06 18:12:36+00:00,"{'retweet_count': 3452, 'reply_count': 668, 'like_count': 23067, 'quote_count': 439, 'impression_count': 3761903}",11348282,"['Entities [Entity Service] :\n Aerospace', 'Business Taxonomy :\n Automotive, Aircraft & Boat Business', 'Business Taxonomy :\n Textile, Apparel & Luxury Good Business', 'Business Taxonomy :\n Travel & Transportation Business', 'Brand :\n NASA', 'Entities [Entity Service] :\n Science', 'Interests and Hobbies Category :\n Space', 'Unified Twitter Taxonomy :\n Space', 'Unified Twitter Taxonomy :\n Science', 'Unified Twitter Taxonomy :\n NASA', 'Unified Twitter Taxonomy :\n Space agencies & companies', 'Unified Twitter Taxonomy :\n Space telescopes', 'Unified Twitter Taxonomy :\n Solar System', 'Unified Twitter Taxonomy :\n James Webb Space Telescope', 'Fields of study :\n Science', 'Entities [Entity Service] :\n Travel', 'Interests and Hobbies :\n Travel Actions']"
