id,text,created_at,public_metrics,in_reply_to_user_id,context_annotations
1642985006678302722,@ylecun 😑,2023-04-03 20:18:45+00:00,"{'retweet_count': 52, 'reply_count': 114, 'like_count': 1155, 'quote_count': 9, 'impression_count': 119491}",48008938,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642979534185304064,@Chad_Hurley Video too,2023-04-03 19:57:00+00:00,"{'retweet_count': 68, 'reply_count': 116, 'like_count': 1219, 'quote_count': 7, 'impression_count': 92151}",44196397,"['Person :\n Chad Hurley', 'Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Entities [Entity Service] :\n Technology', 'Unified Twitter Taxonomy :\n Chad Hurley', 'Unified Twitter Taxonomy :\n Business personalities', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642979476085817344,@Chad_Hurley 💯,2023-04-03 19:56:46+00:00,"{'retweet_count': 201, 'reply_count': 191, 'like_count': 3753, 'quote_count': 11, 'impression_count': 741660}",14749070,"['Person :\n Chad Hurley', 'Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Entities [Entity Service] :\n Technology', 'Unified Twitter Taxonomy :\n Chad Hurley', 'Unified Twitter Taxonomy :\n Business personalities', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642977912784834560,@ShellenbergerMD Interesting,2023-04-03 19:50:34+00:00,"{'retweet_count': 1678, 'reply_count': 550, 'like_count': 18338, 'quote_count': 25, 'impression_count': 1419979}",2474749586,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642977832417775616,@KanekoaTheGreat Wow,2023-04-03 19:50:14+00:00,"{'retweet_count': 1398, 'reply_count': 378, 'like_count': 15338, 'quote_count': 30, 'impression_count': 1231191}",1085225533623783424,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642977589240418304,@BillFOXLA @HildaSolis @LindseyPHorvath !,2023-04-03 19:49:16+00:00,"{'retweet_count': 115, 'reply_count': 77, 'like_count': 1283, 'quote_count': 8, 'impression_count': 71671}",1071585991,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642976597929246721,@TheRabbitHole84 !,2023-04-03 19:45:20+00:00,"{'retweet_count': 548, 'reply_count': 703, 'like_count': 13199, 'quote_count': 37, 'impression_count': 1768087}",1485689970593468416,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642975506437111809,@PeterDiamandis @cb_doge I ate three times body weight in donuts!,2023-04-03 19:41:00+00:00,"{'retweet_count': 895, 'reply_count': 2085, 'like_count': 24001, 'quote_count': 138, 'impression_count': 2170822}",14710129,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642962723637194752,@dogeofficialceo Nice,2023-04-03 18:50:12+00:00,"{'retweet_count': 948, 'reply_count': 803, 'like_count': 15172, 'quote_count': 55, 'impression_count': 2408524}",1355945100216573952,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642747470257201153,@DavidSacks Concur,2023-04-03 04:34:52+00:00,"{'retweet_count': 173, 'reply_count': 255, 'like_count': 2940, 'quote_count': 20, 'impression_count': 323624}",1137701,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642742984348438529,@TheBabylonBee 🤣,2023-04-03 04:17:02+00:00,"{'retweet_count': 420, 'reply_count': 376, 'like_count': 11555, 'quote_count': 23, 'impression_count': 1108763}",4914384040,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642709295203774465,@boringcompany @TUM_Boring Well done!,2023-04-03 02:03:10+00:00,"{'retweet_count': 396, 'reply_count': 296, 'like_count': 7789, 'quote_count': 24, 'impression_count': 860598}",859816394556284929,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642696342832312321,"@ylecun Actually, airplanes used to crash frequently!

Eventually, so many people died that the FAA was created to ensure that commercial aircraft makers &amp; airlines didn’t cut corners on safety. 

Now, flying on an airliner in America is super safe.

https://t.co/WCs2IuMyGb",2023-04-03 01:11:42+00:00,"{'retweet_count': 2347, 'reply_count': 2328, 'like_count': 33621, 'quote_count': 233, 'impression_count': 4768589}",48008938,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642693830708461568,@andst7 @aagalloni Good question,2023-04-03 01:01:43+00:00,"{'retweet_count': 372, 'reply_count': 361, 'like_count': 5370, 'quote_count': 22, 'impression_count': 452977}",541882699,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
1642649192341590017,"@Austen @CommunityNotes Critically, Community Notes applies equally to every account on this platform without exception, including world leaders &amp; our biggest advertisers",2023-04-02 22:04:21+00:00,"{'retweet_count': 382, 'reply_count': 278, 'like_count': 4312, 'quote_count': 25, 'impression_count': 170360}",44196397,"['Business Taxonomy :\n Financial Services Business', 'Business Taxonomy :\n Technology Business', 'Person :\n Elon Musk', 'Interests and Hobbies Vertical :\n Business & finance', 'Interests and Hobbies Category :\n Leadership', 'Unified Twitter Taxonomy :\n Elon Musk', 'Unified Twitter Taxonomy :\n Tech personalities', 'Unified Twitter Taxonomy :\n Business personalities']"
